time,x,y,vx,vy,psi1,psi2,psi3,delta_psi1,delta_psi2,delta_psi3,radius
0.104791,-0.004615,0.002308,-0.000769,-0.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,0.005160
0.207716,-0.002308,0.002308,-0.002307,-0.000000,3.039308,4.000000,3.227809,1.039308,2.000000,1.227809,0.003264
0.309313,0.000769,0.000769,-0.003846,-0.000769,2.825896,3.495998,2.599846,-0.213412,-0.504002,-0.627963,0.001088
0.411131,0.004615,0.000769,-0.003077,-0.000000,3.322793,3.497343,3.124748,0.496897,0.001344,0.524902,0.004679
0.513126,0.007692,0.000000,-0.003077,-0.000769,3.218951,3.801659,3.290677,-0.103842,0.304317,0.165929,0.007692
0.614713,0.008461,0.000000,-0.000769,-0.000000,3.243160,3.559465,3.286330,0.024210,-0.242194,-0.004347,0.008461
0.716396,0.008461,0.000000,0.000000,-0.000000,3.346808,3.675136,3.186870,0.103648,0.115671,-0.099460,0.008461
0.817984,0.007692,0.000000,0.000769,-0.000000,3.272621,3.699431,3.328335,-0.074188,0.024295,0.141464,0.007692
0.920085,0.008461,0.000000,-0.000769,-0.000769,3.326085,3.720551,3.508358,0.053464,0.021120,0.180023,0.008461
1.023230,0.010000,0.000000,-0.000769,-0.000000,3.419102,3.676065,3.434130,0.093018,-0.044486,-0.074227,0.010000
1.125361,0.009231,-0.000769,0.000000,-0.001538,3.432092,3.665138,3.314375,0.012990,-0.010927,-0.119756,0.009263
1.228286,0.009231,-0.003846,0.000000,-0.002307,3.356253,3.545371,3.622722,-0.075839,-0.119767,0.308347,0.010000
1.330335,0.007692,-0.005385,0.000769,-0.001538,3.357312,3.607751,3.836615,0.001059,0.062380,0.213893,0.009390
1.431386,0.006154,-0.006154,0.000769,-0.000000,3.365838,3.597294,3.646667,0.008526,-0.010457,-0.189948,0.008703
1.533927,0.004615,-0.005385,0.000769,0.000769,3.485263,3.567158,3.398221,0.119425,-0.030136,-0.248446,0.007092
1.635789,0.003077,-0.003846,0.000769,0.000769,3.193761,3.755566,3.356621,-0.291502,0.188408,-0.041600,0.004925
1.739073,0.001538,-0.001538,0.000769,0.002307,3.343646,3.585851,3.282914,0.149885,-0.169714,-0.073707,0.002176
1.840661,-0.000000,0.000000,0.000769,0.001538,3.219757,3.931737,3.025404,-0.123889,0.345886,-0.257510,0.000000
1.942662,-0.000769,0.003077,0.000769,0.003076,3.189767,3.763487,3.079746,-0.029990,-0.168250,0.054342,0.003172
2.044227,-0.002308,0.007692,0.000769,0.003846,3.204210,3.973539,3.012199,0.014443,0.210052,-0.067548,0.008031
2.146227,-0.002308,0.011538,0.000000,0.003076,3.320511,4.020306,2.909561,0.116301,0.046766,-0.102638,0.011767
2.247551,-0.002308,0.015385,0.000000,0.003846,3.385909,3.903226,3.102511,0.065398,-0.117079,0.192950,0.015557
2.350089,-0.003846,0.019231,0.000769,0.003076,3.301674,4.166745,3.129874,-0.084235,0.263519,0.027363,0.019612
2.452305,-0.002308,0.022308,-0.001538,0.003076,3.544542,3.948289,3.098858,0.242868,-0.218457,-0.031016,0.022427
2.553643,-0.001538,0.025384,0.000000,0.003076,3.408653,4.113459,3.306435,-0.135889,0.165170,0.207577,0.025431
2.655757,-0.000000,0.029231,-0.000769,0.003846,3.576931,4.043939,3.068391,0.168278,-0.069520,-0.238044,0.029231
2.757638,0.000769,0.031538,-0.000769,0.002307,3.484669,4.152766,3.109778,-0.092262,0.108828,0.041387,0.031548
2.859306,0.003077,0.035384,-0.002307,0.003846,3.725540,4.053307,3.105297,0.240870,-0.099460,-0.004481,0.035518
2.961337,0.006154,0.039231,-0.002307,0.003076,3.622807,4.322961,3.292041,-0.102733,0.269655,0.186744,0.039710
3.063845,0.007692,0.040769,-0.001538,0.001538,4.093869,4.517636,2.779665,0.471062,0.194675,-0.512376,0.041488
3.165525,0.010769,0.043077,-0.002307,0.001538,4.440945,4.385232,3.484741,0.347076,-0.132404,0.705076,0.044402
3.267108,0.013846,0.044615,-0.002307,0.001538,4.690756,4.268803,4.063705,0.249811,-0.116430,0.578964,0.046714
3.369716,0.015385,0.044615,-0.001538,-0.000000,4.743692,3.738429,2.835091,0.052937,-0.530374,-1.228615,0.047193
3.471023,0.017692,0.044615,-0.001538,-0.000000,4.364573,5.299947,4.835091,-0.379119,1.561518,2.000000,0.047995
3.573108,0.019231,0.043846,-0.001538,-0.000769,3.145553,4.903577,2.835091,-1.219020,-0.396370,-2.000000,0.047878
3.674151,0.018461,0.043846,0.000000,-0.000000,5.145553,4.303892,3.497255,2.000000,-0.599685,0.662164,0.047574
3.776490,0.018461,0.041538,0.000000,-0.001538,3.792954,5.833904,3.889927,-1.352599,1.530012,0.392672,0.045456
3.878820,0.018461,0.038461,0.000000,-0.002307,4.893747,5.491059,2.571877,1.100793,-0.342845,-1.318051,0.042663
3.981100,0.020000,0.036923,-0.001538,-0.001538,5.652645,3.491059,3.602783,0.758898,-2.000000,1.030906,0.041992
4.083021,0.020769,0.033077,0.000000,-0.003077,3.652645,4.289344,4.069880,-2.000000,0.798285,0.467098,0.039057
4.184864,0.022308,0.027692,-0.000769,-0.005384,4.251250,5.488662,2.569794,0.598605,1.199318,-1.500087,0.035560
4.287648,0.022308,0.023846,0.000000,-0.003077,5.480403,3.488662,3.122248,1.229153,-2.000000,0.552454,0.032654
4.389733,0.021538,0.016923,0.000769,-0.006153,3.480403,5.052695,4.815203,-2.000000,1.564033,1.692956,0.027391
4.492335,0.021538,0.011538,0.000000,-0.004615,4.144359,5.959676,5.406384,0.663956,0.906980,0.591180,0.024434
4.593920,0.021538,0.006154,0.000000,-0.005384,5.272669,3.959676,3.406384,1.128310,-2.000000,-2.000000,0.022400
4.695570,0.020000,0.000000,0.000769,-0.005384,3.990409,3.500509,4.166910,-1.282259,-0.459167,0.760527,0.020000
4.798631,0.020000,-0.004615,0.000000,-0.004615,3.600147,5.296137,4.196053,-0.390263,1.795628,0.029142,0.020526
4.900258,0.018461,-0.007692,0.000769,-0.003077,4.880372,3.296137,4.456022,1.280225,-2.000000,0.259969,0.020000
5.001738,0.016923,-0.010000,0.000769,-0.001538,4.821341,3.950373,3.975798,-0.059030,0.654236,-0.480224,0.019657
5.103649,0.015385,-0.012308,0.000769,-0.001538,3.888675,3.816329,4.111398,-0.932666,-0.134044,0.135600,0.019702
