time,x,y,vx,vy,psi1,psi2,psi3,delta_psi1,delta_psi2,delta_psi3,radius
0.105246,0.006154,-0.013077,0.000000,0.000769,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,0.014452
0.207294,0.006154,-0.013077,0.000000,0.000000,2.784304,4.000000,4.000000,0.784304,2.000000,2.000000,0.014452
0.308587,0.006154,-0.013077,0.000000,0.000000,4.444086,5.375862,3.800769,1.659782,1.375862,-0.199231,0.014452
0.411431,0.006923,-0.013846,-0.000769,-0.000769,4.874042,3.582543,3.008014,0.429956,-1.793319,-0.792755,0.015480
0.513541,0.006923,-0.013077,0.000000,0.000000,3.291885,4.034742,3.481892,-1.582158,0.452199,0.473878,0.014796
0.614876,0.006923,-0.013077,0.000000,0.000000,3.642263,5.913590,4.429271,0.350378,1.878849,0.947379,0.014796
0.717474,0.006923,-0.013077,0.000000,0.000000,4.833252,3.913590,2.429271,1.190989,-2.000000,-2.000000,0.014796
0.818595,0.006923,-0.013077,0.000000,0.000000,3.207694,4.128455,3.411117,-1.625558,0.214865,0.981846,0.014796
0.922260,0.006923,-0.013077,0.000000,0.000000,3.532911,5.995844,4.630186,0.325217,1.867389,1.219069,0.014796
1.025857,0.008461,-0.013077,-0.000769,0.000000,4.761438,3.995844,2.630186,1.228528,-2.000000,-2.000000,0.015576
1.127747,0.010769,-0.013077,-0.002307,0.000000,3.324389,4.120220,3.415828,-1.437049,0.124376,0.785642,0.016940
1.229843,0.011538,-0.011538,0.000000,0.000769,4.221263,5.937569,4.588133,0.896873,1.817348,1.172305,0.016318
1.331726,0.013846,-0.012308,-0.002307,0.000000,5.076063,4.185480,2.588133,0.854800,-1.752089,-2.000000,0.018525
1.434424,0.016923,-0.013846,-0.002307,-0.000769,3.242628,4.259688,3.408150,-1.833435,0.074209,0.820018,0.021865
1.535948,0.018461,-0.015384,-0.001538,-0.000769,4.338201,5.974706,4.258360,1.095572,1.715017,0.850210,0.024031
1.637205,0.023846,-0.018461,-0.004615,-0.003076,4.874784,4.543561,2.258360,0.536583,-1.431145,-2.000000,0.030157
1.739462,0.028461,-0.023077,-0.004615,-0.003846,2.874784,4.220234,3.469276,-2.000000,-0.323327,1.210915,0.036641
1.841535,0.033077,-0.025384,-0.004615,-0.002307,4.874784,3.326701,5.469275,2.000000,-0.893534,2.000000,0.041695
1.942377,0.040769,-0.031538,-0.007692,-0.005384,5.198996,5.020878,5.192103,0.324212,1.694177,-0.277173,0.051544
2.043947,0.048461,-0.036923,-0.007692,-0.004615,4.992171,4.902499,3.192103,-0.206824,-0.118379,-2.000000,0.060924
2.145155,0.056154,-0.042307,-0.007692,-0.005384,2.992171,3.664361,2.558300,-2.000000,-1.238139,-0.633803,0.070307
2.248727,0.063077,-0.048461,-0.006153,-0.005384,4.426251,2.153325,4.227430,1.434080,-1.511036,1.669131,0.079543
2.350779,0.071538,-0.055384,-0.007692,-0.006922,3.274501,2.160988,2.335906,-1.151751,0.007664,-1.891524,0.090472
2.452472,0.080000,-0.063077,-0.008461,-0.006922,5.144582,2.182695,4.194894,1.870081,0.021707,1.858988,0.101875
2.555438,0.089230,-0.072307,-0.008461,-0.008460,3.180943,2.157835,2.194894,-1.963638,-0.024860,-2.000000,0.114849
2.657066,0.100769,-0.082307,-0.010768,-0.009999,5.180944,2.156383,4.194894,2.000000,-0.001452,2.000000,0.130111
2.759322,0.113845,-0.093846,-0.013076,-0.011537,3.847104,2.156195,2.194894,-1.333840,-0.000188,-2.000000,0.147539
6.383804,-0.048461,-0.010000,-0.069667,0.004615,4.048222,4.048222,4.048222,0.000000,0.000000,-0.000000,0.049482
