time,x,y,vx,vy,theta_x,theta_y,action_x,action_y
0.069093,0.019231,-0.005385,-0.000000,0.000769,-0.001643,-0.000660,-0.001643,-0.000660
0.135777,0.019231,-0.003846,-0.000000,0.000769,-0.000713,-0.001233,0.000930,-0.000573
0.203054,0.019231,-0.003846,-0.000000,-0.000000,-0.001061,-0.001663,-0.000347,-0.000430
0.268569,0.019231,-0.003846,-0.000000,-0.000000,-0.001103,-0.001515,-0.000042,0.000148
0.334816,0.018461,-0.002308,0.000769,0.000769,-0.001148,-0.001353,-0.000045,0.000162
0.402385,0.016154,-0.003077,0.002308,-0.000000,-0.001266,-0.000984,-0.000118,0.000369
0.468664,0.014615,-0.002308,0.001538,0.000769,-0.002391,0.001355,-0.001125,0.002339
0.535177,0.013846,-0.003077,-0.000000,-0.000769,-0.002291,0.001492,0.000100,0.000136
0.603140,0.012308,-0.003077,0.000769,-0.000000,-0.000862,0.001045,0.001429,-0.000446
0.670572,0.013077,-0.003077,-0.000000,-0.000000,-0.001492,0.000793,-0.000630,-0.000252
0.737010,0.012308,-0.003077,0.000769,-0.000000,-0.000753,-0.000117,0.000739,-0.000910
0.803029,0.012308,-0.003077,-0.000000,-0.000000,-0.001394,-0.000019,-0.000641,0.000098
0.868573,0.010769,-0.003077,0.000769,-0.000000,-0.000708,-0.000714,0.000686,-0.000695
0.935706,0.009231,-0.002308,0.000769,0.000769,-0.001354,-0.000423,-0.000647,0.000291
1.002812,0.009231,-0.003077,-0.000000,-0.000000,-0.000822,-0.000580,0.000532,-0.000157
1.069935,0.009231,-0.003077,-0.000000,-0.000000,-0.000935,-0.001085,-0.000113,-0.000505
1.137485,0.007692,-0.003077,0.000769,-0.000000,-0.000779,-0.001469,0.000156,-0.000385
1.203947,0.008461,-0.003077,-0.000000,-0.000000,-0.001195,-0.000851,-0.000415,0.000618
1.270267,0.008461,-0.003077,-0.000000,-0.000000,-0.000687,-0.001256,0.000507,-0.000405
1.336782,0.008461,-0.003077,-0.000000,-0.000000,-0.000935,-0.001501,-0.000248,-0.000244
1.402917,0.008461,-0.003077,-0.000000,-0.000000,-0.000742,-0.001718,0.000193,-0.000217
1.469024,0.010000,-0.003077,-0.000769,-0.000000,-0.000845,-0.001799,-0.000103,-0.000081
1.535800,0.009231,-0.003077,-0.000000,-0.000000,-0.000439,-0.002697,0.000406,-0.000898
1.602975,0.010000,-0.003077,-0.000769,-0.000000,-0.000844,-0.002381,-0.000404,0.000317
1.669865,0.010000,-0.003077,-0.000000,-0.000000,-0.000345,-0.002966,0.000499,-0.000586
1.736984,0.010000,-0.003077,-0.000000,-0.000000,-0.000788,-0.002475,-0.000443,0.000491
1.802617,0.010000,-0.003077,-0.000000,-0.000000,-0.000729,-0.002291,0.000058,0.000184
1.868245,0.010000,-0.003077,-0.000000,-0.000000,-0.000816,-0.002149,-0.000086,0.000142
1.935068,0.011538,-0.003077,-0.000769,-0.000000,-0.000785,-0.002081,0.000031,0.000067
2.002966,0.011538,-0.002308,-0.000000,0.000769,-0.000495,-0.002841,0.000290,-0.000759
2.068647,0.011538,-0.002308,-0.000000,-0.000000,-0.000578,-0.003074,-0.000083,-0.000234
2.136568,0.011538,-0.002308,-0.000000,-0.000000,-0.000778,-0.002670,-0.000200,0.000404
2.204031,0.011538,-0.002308,-0.000000,-0.000000,-0.000770,-0.002440,0.000008,0.000230
2.270993,0.013077,-0.000769,-0.000769,0.000769,-0.000815,-0.002306,-0.000044,0.000134
2.338848,0.012308,-0.001538,-0.000000,-0.000000,-0.000194,-0.003670,0.000620,-0.001364
2.405391,0.012308,-0.003077,-0.000000,-0.000769,-0.000693,-0.002905,-0.000499,0.000764
2.471084,0.012308,-0.003077,-0.000000,-0.000000,-0.000775,-0.001619,-0.000082,0.001286
2.538388,0.012308,-0.003077,-0.000000,-0.000000,-0.000954,-0.001795,-0.000179,-0.000175
2.604807,0.013077,-0.003077,-0.000769,-0.000000,-0.000817,-0.001907,0.000137,-0.000113
2.672170,0.012308,-0.003077,-0.000000,-0.000000,-0.000550,-0.002744,0.000267,-0.000837
2.738710,0.013077,-0.003077,-0.000769,-0.000000,-0.000882,-0.002442,-0.000332,0.000302
2.804717,0.012308,-0.003077,0.000769,-0.000000,-0.000425,-0.002942,0.000457,-0.000500
2.870201,0.013077,-0.003077,-0.000769,-0.000000,-0.001299,-0.001731,-0.000874,0.001212
2.936533,0.013077,-0.003077,-0.000000,-0.000000,-0.000335,-0.002618,0.000964,-0.000887
3.003228,0.013077,-0.003077,-0.000000,-0.000000,-0.001070,-0.002336,-0.000735,0.000282
3.068698,0.013077,-0.003077,-0.000000,-0.000000,-0.000717,-0.002215,0.000354,0.000121
3.136772,0.013077,-0.003077,-0.000000,-0.000000,-0.000961,-0.002091,-0.000245,0.000124
3.202673,0.013077,-0.003077,-0.000000,-0.000000,-0.000829,-0.002058,0.000132,0.000033
3.271480,0.013077,-0.003077,-0.000000,-0.000000,-0.000914,-0.002023,-0.000086,0.000035
3.338936,0.013077,-0.003077,-0.000000,-0.000000,-0.000865,-0.002016,0.000049,0.000007
3.405954,0.013077,-0.003077,-0.000000,-0.000000,-0.000896,-0.002006,-0.000031,0.000010
3.472778,0.013077,-0.003077,-0.000000,-0.000000,-0.000877,-0.002005,0.000019,0.000002
3.539823,0.013077,-0.003077,-0.000000,-0.000000,-0.000889,-0.002002,-0.000012,0.000003
3.605725,0.013077,-0.003077,-0.000000,-0.000000,-0.000881,-0.002002,0.000007,0.000000
3.673001,0.012308,-0.003077,0.000769,-0.000000,-0.000886,-0.002001,-0.000004,0.000001
3.738895,0.013077,-0.003077,-0.000000,-0.000000,-0.001218,-0.001203,-0.000332,0.000798
3.806207,0.013077,-0.003077,-0.000000,-0.000000,-0.000800,-0.001493,0.000419,-0.000291
